epoch,train_loss,train_ce_loss,train_tv_loss,val_loss,val_ce_loss,val_tv_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_pred_active_ratio,val_pred_inactive_ratio,optimal_threshold,pred_total_duration
1,83.4131253148253,0.5422706698646417,0.0,37.078627757335965,0.5582004597312525,0.0,0.5932529135146187,0.36401502473130276,0.7779985692711231,0.49597162401824174,0.5292741336122657,73.36704670386285,26.632953296137142,0.0,96.8842105263158
2,16.71280833776738,0.511003385725859,0.0,23.003010778050673,0.526547510372965,0.0,0.6212635452872624,0.3829979918888058,0.7731499880772593,0.5122439306967193,0.5686641526053566,70.42155222683607,29.578447773163923,0.0,99.00526315789477
3,4.858891768632708,0.44358683961468776,0.0,21.947881141775532,0.5216886863896721,0.0,0.6444898793702719,0.3999083829592304,0.7632938558143232,0.5248401377274963,0.6033471881967574,66.19066976736424,33.809330232635766,0.0,86.03157894736842
4,5.504907805774663,0.41804099223903707,0.0,11.891581577690024,0.5227738187501305,0.0,0.6275199345737068,0.38781196513155275,0.7744217470789285,0.5168151920220666,0.5766467560351235,68.06854491809145,31.93145508190856,0.0,95.82105263157894
5,2.7990162147058024,0.3841002776816085,0.0,5.68210759131532,0.5235591209248492,0.0,0.6214884481701084,0.3857120838471023,0.795644225419283,0.5195546674279188,0.5611770211126098,69.84824020440577,30.15175979559424,0.0,101.11052631578947
6,2.2923094501366488,0.3705686629825347,0.0,10.600319076525537,0.5242253494890112,0.0,0.6136781844203639,0.3812354224663306,0.8055003576822192,0.5175293006153766,0.5472487544386028,69.45816752965658,30.541832470343415,0.0,100.41578947368419
7,2.3988137676103696,0.34994416965826136,0.0,11.202218422764226,0.5541180674182741,0.0,0.608178286648947,0.3776803300011149,0.8078054208727447,0.5147125854646747,0.5390459412590493,71.01009990904886,28.98990009095113,0.0,105.94736842105263
8,2.347879740434724,0.32655742402012283,0.0,7.174007586742702,0.5737561446271444,0.0,0.6115722756082601,0.3796285875070343,0.8043080836181543,0.5158018146600061,0.5448264471909494,71.03545644260386,28.964543557396134,0.0,101.45789473684208
9,2.5608030460976265,0.31329873677443815,0.0,7.936704522685001,0.603484739598475,0.0,0.6288693518707831,0.3920055829100919,0.8036722041173198,0.5269713868765311,0.5683338379806766,68.89764451924948,31.10235548075052,0.0,99.73157894736843
10,1.8740904373494354,0.3104600934060039,0.0,5.684597300855737,0.6516893890343214,0.0,0.6118176242077284,0.3770208517338044,0.7803831173992528,0.5084148930661281,0.553442153651353,69.93353744740025,30.06646255259975,0.0,104.76842105263158
11,1.9084720572305691,0.2883595417983629,0.0,7.488399659332476,0.6565930137508794,0.0,0.6223267225516255,0.3866461420050029,0.7985851681106431,0.5210288855468548,0.5612871259875031,69.07432231773153,30.925677682268464,0.0,102.12105263157898
12,1.7611521255929727,0.279438245689144,0.0,5.948167048002544,0.7046824568196347,0.0,0.5846043753833572,0.3600477603299805,0.790954614100628,0.49484074691066415,0.513143769440392,71.5532190594694,28.446780940530598,0.0,111.73157894736845
13,1.9585023497206133,0.27929157129413373,0.0,7.896935014348281,0.6718238200012007,0.0,0.5979554283377633,0.3698121530713524,0.7996184722994992,0.5057309471144178,0.5281180324258856,71.0652962635778,28.93470373642218,0.0,110.02631578947368
14,1.5689861356607966,0.2556351979036589,0.0,5.636276135319157,0.7595424158008475,0.0,0.601226742997342,0.37214198648099583,0.8008107463635641,0.5081454582135472,0.5321093341407691,71.07225702310927,28.927742976890734,0.0,110.42105263157895
