epoch,train_loss,train_ce_loss,train_tv_loss,val_loss,val_ce_loss,val_tv_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_pred_active_ratio,val_pred_inactive_ratio,optimal_threshold
1,5.245803228020668,0.1765498454372088,0.0012617127232563993,0.35269368439912796,0.35269368439912796,0.0,0.3432586206896552,0.26133620689655174,0.7605845825754249,0.38900919108801313,0.1850583731602349,80.0,20.0,-0.5486352
2,0.17102110584576924,0.09987624883651733,0.0009338547630856434,0.1551193818449974,0.1551193818449974,0.0,0.3449137931034483,0.2623706896551724,0.763595308285768,0.3905490592368029,0.18619968138478732,80.0,20.0,-0.6275902
3,0.1326219419638316,0.1000400851170222,0.0008666822376350562,0.14013849757611752,0.14013849757611752,0.0,0.4132758620689655,0.27794828983229797,0.7100294800225805,0.3995059114169755,0.30078227167891197,70.21896551724139,29.781034482758624,-0.5613681
4,0.12499198615550995,0.09857338468233744,0.0008293245647413035,0.1454727202653885,0.1454727202653885,0.0,0.5266724137931035,0.33147877013177157,0.7100294800225805,0.45195935559858663,0.457165275697268,58.87931034482759,41.12068965517241,-0.5730977
5,0.12251016894976298,0.09625615179538727,0.000803184377339979,0.13658177852630615,0.13658177852630615,0.0,0.48998275862068963,0.31210735148242036,0.7104685441886721,0.4336938834115057,0.4064008369593647,62.57241379310344,37.42758620689655,-0.55515814
6,0.1284976645062367,0.09052454953392347,0.0007777687006940444,0.1429858859628439,0.1429858859628439,0.0,0.35267241379310343,0.2672198275862069,0.7777080850530013,0.39776719118425485,0.19154956368737666,80.0,20.0,-0.6123736
7,0.16852433731158575,0.08828681310017904,0.0007649842339257399,0.15636532381176949,0.15636532381176949,0.0,0.38291379310344825,0.26674658017204905,0.7118484601392461,0.38807297098599736,0.25822098580497893,73.3551724137931,26.644827586206898,-0.58554345
8,0.13298910309871037,0.09024033769965172,0.0007408615318126976,0.17722740769386292,0.17722740769386292,0.0,0.418551724137931,0.2800524479849583,0.7100294800225805,0.4016748279043361,0.30805811161043345,69.69137931034483,30.308620689655175,-0.55819345
9,0.20333591376741728,0.08068290849526723,0.0007305226366346081,0.176219180226326,0.176219180226326,0.0,0.3632758620689655,0.26114765665900347,0.719626168224299,0.3832253323535306,0.2281903131464441,75.74655172413793,24.25344827586207,-0.62421525
10,0.18774059464534124,0.07994626859823863,0.0007213949769114455,0.35438865795731544,0.35438865795731544,0.0,0.428051724137931,0.2841501302866306,0.7113466725208556,0.4060871900456539,0.3206600565898661,68.81379310344828,31.18620689655172,-0.5216872
