epoch,train_loss,train_ce_loss,train_tv_loss,val_loss,val_ce_loss,val_tv_loss,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_pred_active_ratio,val_pred_inactive_ratio,optimal_threshold
1,1.4646442127724488,0.10987016359965006,0.0007726697251200676,0.09256619005464017,0.09256619005464017,0.0,0.4678448275862069,0.2027030880214422,0.7100479424690371,0.3153738659805248,0.417312661498708,60.467241379310344,39.532758620689656,-0.57515866
2,0.13535540997982026,0.1132708082596461,0.0006503639199460546,0.09149714990053326,0.09149714990053326,0.0,0.5525517241379311,0.23586531450918008,0.7108469836196564,0.3542029562534216,0.5195257147620238,52.02413793103449,47.97586206896552,-0.5682642
3,0.15864193042119343,0.10785884509483973,0.0006244265629599491,0.09559342957800254,0.09559342957800254,0.0,0.716,0.34456207892204044,0.7151418298042349,0.4650558586645882,0.7161790447611903,35.82758620689655,64.17241379310344,-0.591144
4,0.15917445967594782,0.11012706408898036,0.0006063409460087617,0.08790227945428342,0.08790227945428342,0.0,0.7348275862068966,0.36877872298816855,0.7533959248901319,0.4951749491236132,0.7309535717262649,35.265517241379314,64.73448275862069,-0.55858696
5,0.12352172434329986,0.1100972426434358,0.0005981970656042298,0.08738606376573443,0.08738606376573443,0.0,0.7441724137931034,0.3748833350617028,0.7221334398721534,0.4935490477165677,0.7487705259648245,33.251724137931035,66.74827586206897,-0.5603095
6,0.14379818191130955,0.10328535338242849,0.0005936613578038911,0.09612315491540357,0.09612315491540357,0.0,0.6962068965517242,0.3257124530376615,0.7100479424690371,0.4465732772159055,0.6933191631241143,37.63103448275862,62.36896551724138,-0.5972602
7,0.15824071715275448,0.10822235445181529,0.0005817733200577398,0.0901435901178047,0.0901435901178047,0.0,0.6797931034482758,0.3120993941522522,0.7100479424690371,0.4336078072583104,0.6734808702175544,39.27241379310345,60.727586206896554,-0.5705042
8,0.18965403536955516,0.10274861405293147,0.0005728418900010486,0.08298915287014097,0.08298915287014097,0.0,0.721551724137931,0.35496219281663516,0.7501997602876548,0.4819068394713204,0.7155747270150871,36.48275862068965,63.51724137931034,-0.54771495
9,0.208807073533535,0.09600084871053696,0.0005627609207294881,0.08419230242725462,0.08419230242725462,0.0,0.7224655172413793,0.3524276082844255,0.72572912504994,0.4744523164321395,0.7217846128198716,35.546551724137935,64.45344827586207,-0.54930323
10,0.12967481215794882,0.10540580103794733,0.0005740700871683657,0.09333231288474053,0.09333231288474053,0.0,0.6708448275862069,0.33341895710249164,0.907510986815821,0.4876687330596034,0.6214678669667417,46.984482758620686,53.01551724137931,-0.61908215
11,0.16248451645175616,0.10131102502346039,0.0005592019646428525,0.08553398086223751,0.08553398086223751,0.0,0.673344827586207,0.32877184912603497,0.8566719936076708,0.4751800554016621,0.6350962740685171,44.97931034482759,55.02068965517242,-0.58370626
12,0.16762283543745676,0.10112471630175908,0.0005586243350990117,0.09183918364578858,0.09183918364578858,0.0,0.6711206896551725,0.33589251439539347,0.926388333999201,0.4930232558139535,0.6178627990330916,47.608620689655176,52.39137931034483,-0.6402109
13,0.20035511602958042,0.09095114966233571,0.0005626462322349349,0.12930855702143162,0.12930855702143162,0.0,0.6736724137931035,0.3361634873378175,0.9135037954454654,0.4914694107848142,0.6236350754355255,46.90862068965517,53.091379310344834,-0.5772284
14,0.1718741277853648,0.09312724868456522,0.0005417825343708197,0.1702754721045494,0.1702754721045494,0.0,0.668896551724138,0.3350441461488766,0.9323811426288454,0.4929503089190474,0.6139243144119363,48.03793103448275,51.96206896551724,-0.60232234
15,0.1736832343041897,0.0908299374083678,0.0005203867331147194,0.10163013844976376,0.10163013844976376,0.0,0.669051724137931,0.33524704869209515,0.9331801837794647,0.49328159235500646,0.6139451529549054,48.05,51.949999999999996,-0.78704983
16,0.12446919282277426,0.09049515103300412,0.0005166898054691653,0.12692997947488038,0.12692997947488038,0.0,0.7286206896551725,0.3565274020639215,0.7108469836196564,0.4748782277974245,0.7323289155622239,34.41724137931034,65.58275862068965,-0.54844314
17,0.1647550786534945,0.08400504986445109,0.0005064909695647657,0.10700492160276553,0.10700492160276553,0.0,0.6698620689655173,0.335695273721315,0.9321813823411905,0.4936266991061512,0.6151329499041427,47.93448275862069,52.06551724137931,-0.7724269
18,0.2272444834311803,0.08233361492554346,0.0005058854294475168,0.11078032817636085,0.11078032817636085,0.0,0.6714655172413793,0.3361953410861138,0.926887734718338,0.49342017812043065,0.6181753771776277,47.59137931034483,52.40862068965517,-0.78631496
19,0.11766341129938761,0.08653075123826663,0.0004749516878897945,0.1101069663685621,0.1101069663685621,0.0,0.6725862068965517,0.3360362334721309,0.9188973232121455,0.49211018989034505,0.6211969659081437,47.20344827586207,52.79655172413793,-0.82521826
