fold,best_epoch,best_val_f1,best_val_accuracy,best_val_precision,best_val_recall,optimal_threshold
1,9,0.4012103369316324,0.6399016393442623,0.2645219266714594,0.8302120938628159,-0.3605203926563263
2,10,0.3705898758889974,0.3982,0.23854940418751824,0.8300148356367612,-0.36863136291503906
3,26,0.420497530979223,0.48168333333333335,0.2815681772808944,0.8300595894945928,-0.3428512215614319
4,6,0.41302171875248245,0.38425,0.27079166666666665,0.8699551569506726,-0.2950434684753418
5,20,0.5338272317634418,0.5154833333333333,0.3933872187559085,0.8302159708713651,-0.32116442918777466
Mean ± Std,14.2 ± 7.5,0.4278 ± 0.0557,0.4839 ± 0.0923,0.2898 ± 0.0537,0.8381 ± 0.0159,-0.338 ± 0.027
