fold,best_epoch,best_val_f1,best_val_accuracy,best_val_precision,best_val_recall,optimal_threshold
1,9,0.4872014529006613,0.7419827586206896,0.3708205101455323,0.7100479424690371,-0.48867127299308777
2,1,0.4094803893038445,0.37024137931034484,0.2780485662846353,0.7765513858229091,-0.5938137173652649
3,15,0.47455400217609983,0.5587068965517241,0.35272216796875,0.7249576616696983,-0.5454496741294861
4,11,0.460344908164696,0.6018275862068966,0.34055941638142656,0.7101146276404008,-0.46218982338905334
5,4,0.31163181976732257,0.41142105263157897,0.19957425560432052,0.7106494478757253,-0.5496084094047546
Mean ± Std,8.0 ± 5.0,0.4286 ± 0.0642,0.5368 ± 0.1344,0.3083 ± 0.0627,0.7265 ± 0.0257,-0.528 ± 0.047
