Strategy,F1 Score,Accuracy,Precision,Recall,Specificity,Threshold
Individual (Mean),0.4286425144625248,-,-,-,-,-
Ensemble (soft),0.5368080460680386,0.7166643598615917,0.4315036103381168,0.7101017659383418,0.7186380412278333,-0.5068008
Ensemble (hard),0.5368080460680386,0.7166643598615917,0.4315036103381168,0.7101017659383418,0.7186380412278333,-0.5068008
Ensemble (weighted),0.5386216085958099,0.718439446366782,0.43358437171938474,0.7108201137384017,0.7207309388783869,-0.5014882879485147
