Strategy,F1 Score,Accuracy,Precision,Recall,Specificity,Threshold
Individual (Mean),0.41225038387005836,-,-,-,-,-
Ensemble (soft),0.6079543645867155,0.786923875432526,0.5290356893552426,0.7145465429512122,0.8086911513187506,-0.44771114
Ensemble (hard),0.6079543645867155,0.786923875432526,0.5290356893552426,0.7145465429512122,0.8086911513187506,-0.44771105
Ensemble (weighted),0.6024334726123374,0.7830346020761245,0.5226465119860941,0.7109697695300808,0.804707894499955,-0.45400218954548116
