fold,best_epoch,best_val_f1,best_val_accuracy,best_val_precision,best_val_recall,optimal_threshold
1,4,0.4951749491236132,0.7348275862068966,0.36877872298816855,0.7533959248901319,-0.5585869550704956
2,1,0.4121643171525165,0.36444827586206896,0.27851293103448277,0.7924331616384597,-0.473939448595047
3,2,0.4069088229479322,0.431051724137931,0.2851672712615881,0.7100294800225805,-0.5099000930786133
4,19,0.4043169664560039,0.4718448275862069,0.2768280342972786,0.7494773267969145,-0.3859788179397583
5,32,0.342686863670226,0.4891754385964912,0.2258189283270358,0.7102751263335205,-0.458154559135437
Mean ± Std,11.6 ± 12.1,0.4123 ± 0.0486,0.4983 ± 0.1258,0.2870 ± 0.0461,0.7431 ± 0.0308,-0.477 ± 0.057
